Objective,LOE,IMO,Parent_OAI_ID,Sub_OAI_ID,OAI_Description,Land,Sea,Air,Cyber,Space,Decisive_Point,Decision_Point
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Strengthen OAS/IADB & Coalition Legitimacy,1.1.6,1.1.6a,Plan and assign LNO support to OAS and IADB,Identify land-focused initiatives requiring planners and CA/PAO,Identify maritime security projects needing naval planners,Identify air safety or interoperability forums needing support,Identify cyber coordination or CERT initiatives,Identify disaster-response and space-product support needs,LNO plan approved and billets sourced,Decision on which initiatives to prioritize for LNO support
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Strengthen OAS/IADB & Coalition Legitimacy,1.1.6,1.1.6b,Deploy LNOs and integrate WHEMCOM support to OAS/IADB,Embed planners in OAS/IADB land security efforts,Support maritime doctrine and coordination under IADB,Support air interoperability and safety planning,Link regional CERTs to OAS/IADB security efforts,Provide space imagery and data to OAS/IADB planning,"OAS/IADB recognized as central, legitimate security fora",Political gridlock reduces OAS/IADB relevance or neutrality
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Strengthen OAS/IADB & Coalition Legitimacy,1.1.7,1.1.7a,Design WHEMCOM-led IO campaign to support coalition narrative,Map target audiences for ground-focused messaging,Frame maritime presence and interdiction as cooperative security,Frame airlift/ISR missions as transparent and humanitarian,Design cyber/social campaigns to counter disinformation,Design use of unclassified space imagery in messaging,IO campaign plan synchronized with partners and OAS/IADB,Approval to execute campaign themes and messages
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Strengthen OAS/IADB & Coalition Legitimacy,1.1.7,1.1.7b,Execute IO campaign and adapt to adversary narratives,Use land engagements and key leader engagements to reinforce IO,Publicize joint maritime patrols and cooperative interdiction,Showcase airlift and ISR support in crises and HA/DR,Continuously counter adversary narratives online,Publish space imagery that exposes malign activities accurately,Regional narrative supports partnership and rule of law,Adversary disinformation gains traction with publics or elites
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Deepen Security Cooperation & Capacity-Building,1.1.8,1.1.8a,"Plan persistent SFA-B missions (C-TCO, border, cyber, C-UAS)",Identify priority partner land forces and regions,Identify priority partner navies/coast guards for C-TCO training,Identify partner air forces needing ISR and C-UAS training,Identify partner cyber institutions needing training,Identify use cases for partner access to space-based ISR,SFA campaign plan aligned with WHEMCOM objectives,"Decisions on where, when, and with which partners to deploy SFA-B"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Deepen Security Cooperation & Capacity-Building,1.1.8,1.1.8b,Execute SFA-B capacity-building missions with partners,"Advise and train ground units on C-TCO, border, and urban ops",Train partner maritime units in interdiction and small-boat ops,Train air units on ISR integration and C-UAS defense,Conduct cyber training and network-defense exercises,Coach partners on tasking/using commercial space imagery,"Partner units demonstrate independent, effective operations","Partner units compromised, politicized, or under-resourced"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Deepen Security Cooperation & Capacity-Building,1.1.9,1.1.9a,Plan expansion of IMET and State Partnership Program,Identify land institutions and schools for IMET slots,Identify maritime academies and navies for exchanges,Identify air academies and units for exchanges,Identify cyber schools and CERTs for partnerships,Identify space or ISR-focused education opportunities,IMET and SPP expansion plan approved,Allocation of training seats and partner selections
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Deepen Security Cooperation & Capacity-Building,1.1.9,1.1.9b,Execute expanded IMET and SPP engagements,Send land officers and NCOs to U.S. PME and IMET courses,Host naval and coast guard officers for maritime PME,Host partner air officers for aviation safety and C2 training,Create cyber range exchanges and CERT-to-CERT drills,Educate partners on space ISR and space domain awareness,Fence-sitter nations shift toward U.S./partner security vision,Partners lean toward PRC/Russian training and funds instead
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Deepen Security Cooperation & Capacity-Building,1.1.10,1.1.10a,Plan multinational exercise Hemisphere Shield,Design land scenarios for border security and HA/DR,Design maritime interdiction and MIO vignettes,"Design air C2, ISR, and DSCA support scenarios",Plan cyber defense and incident response injects,Plan use of space-enabled targeting and COP services,Exercise design approved and scheduled,"Decision on participating nations, scale, and venues"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,"LOE1.1 - Strengthen, Reassure, Integrate Regional Partners",Deepen Security Cooperation & Capacity-Building,1.1.10,1.1.10b,Execute Hemisphere Shield and capture lessons,Rehearse land border security and HA/DR support,Conduct combined maritime interdiction and MIO events,"Conduct air integration, C2, and DSCA airlift scenarios",Run cyber incident response and recovery drills,Employ space-enabled targeting and shared COP in real time,Demonstrated multi-domain interoperability among partners,Political or public backlash undermines exercise participation
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Maintain & Protect Multinational Homeland Defense,1.2.1,1.2.1a,Plan integration of Canadian and Mexican partners into JTF-HD,Define land roles and responsibilities for joint HD plans,Define maritime contributions and coastal sensor coverage,Define air defense and NORAD-related integration points,Define HD-relevant cyber defense roles,Define use of space-based early warning products with partners,Tri-national HD planning framework defined,Decision on levels of partner integration and information sharing
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Maintain & Protect Multinational Homeland Defense,1.2.1,1.2.1b,Execute and rehearse multinational homeland defense plans,Conduct land command-post and field HD exercises,Coordinate maritime HD patrols and sensor operations,Coordinate air defense and alert missions with partners,Operate shared HD-relevant cyber monitoring and defense,Use space early warning as part of shared HD rehearsals,Tri-national HD response demonstrably synchronized,Diversion of HD forces due to Venezuela or other crises
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Maintain & Protect Multinational Homeland Defense,1.2.2,1.2.2a,Plan early-warning ISR system investments and siting,Select land sites for supporting infrastructure,Select maritime radar and sensor locations,"Select air-focused OTH radar, aerostat, and sensor locations",Plan secure networks for ISR system control and data,Plan integration with space-based missile warning systems,Early-warning ISR architecture approved and funded,Decision on specific sites and national roles in ISR build-out
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Maintain & Protect Multinational Homeland Defense,1.2.2,1.2.2b,Deploy and operate shared early-warning ISR systems,Build land infrastructure and protection for sensors,Deploy maritime warning radars and data feeds,"Operate air warning radars, aerostats, and cueing systems",Maintain secure ISR system networks,Fuse space-based missile warning into warning picture,Persistent coverage of key air and sea approaches,ISR coverage degraded by technical failure or funding cuts
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Preserve Maritime Interdiction & Border Security Capacity,1.2.3,1.2.3a,Plan persistent joint and combined maritime interdiction posture,"Identify land staging areas, ports, and logistics for MIO","Identify maritime patrol patterns, chokepoints, and task groups",Identify air MPA and ISR support requirements,Identify cyber protections for MIO C2 networks,Identify space MDA products to cue interdiction,Interdiction posture plan aligned across agencies and partners,Decision to resource and sustain agreed patrol and surge posture
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Preserve Maritime Interdiction & Border Security Capacity,1.2.3,1.2.3b,Conduct persistent maritime interdiction operations,Use land-based staging and law-enforcement support,Maintain USCG/USN/partner patrols at sea,Provide MPA and air ISR coverage to interdiction forces,Defend maritime C2 networks from cyber attack,Use space AIS/SAR data to locate suspect vessels,Sustained interdiction along priority routes,Partner refusal to support or accept U.S. MIO presence
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Preserve Maritime Interdiction & Border Security Capacity,1.2.4,1.2.4a,Plan ISR and planning support for DHS and CBP border ops,Map land crossing points and high-risk corridors,Map maritime approaches feeding land border pressure,Identify air ISR coverage gaps along borders,Identify cyber intel needs on TCO digital infrastructure,Identify space imagery requirements for border monitoring,ISR support plan aligned with DHS/CBP needs,Decision to share specific DHS/CBP priorities and datasets
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Preserve Maritime Interdiction & Border Security Capacity,1.2.4,1.2.4b,Provide ongoing ISR and planning support to border ops,Provide ground-based ISR and planning cells,Support coastal interdiction coordination with CBP/navies,Provide air tracks and ISR to border task forces,Share TCO cyber intel with DHS/CBP SOCs,"Use space imagery for route, camp, and crossing detection",Border threat picture shared and used for joint targeting,Border crises or mass migration overwhelm available capacity
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Ensure DSCA Responsiveness During Instability,1.2.5,1.2.5a,Plan pre-positioning of HA/DR stocks in key partners,Identify land depots and secure storage locations,Identify maritime ports suited for HA/DR throughput,Identify airfields suitable for HA/DR hub operations,Plan resilient comms for DSCA logistics coordination,Identify space imagery needs for rapid damage assessment,HA/DR pre-positioning plan coordinated with partners,Decision to commit stocks and funding to specific sites
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Ensure DSCA Responsiveness During Instability,1.2.5,1.2.5b,Pre-position and maintain HA/DR stocks with partners,Establish land depots and supply control,Route HA/DR via selected ports and sealift options,Use airlift as needed from pre-identified hubs,Maintain resilient DSCA comms and IT in region,Use space imagery to refine routing and staging after events,Stocks in place and ready before major instability or disaster,Multiple concurrent crises exceed stock and lift capacity
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Ensure DSCA Responsiveness During Instability,1.2.6,1.2.6a,Plan DSCA/FDR exercises with interagency and partners,"Define land-based DSCA scenarios (migration, disasters)",Define maritime HA/DR support and port ops vignettes,"Define airlift, medevac, and air DSCA scenarios",Define cyber continuity and backup arrangements,Define space product integration into DSCA decision-making,Exercise design aligned with real Venezuela-risk scenarios,"Decision to schedule, resource, and invite partners"
OBJ1 - Strengthen & Protect Western Hemisphere Partnership Network,LOE1.2 - Preserve Homeland Defense & DSCA Readiness,Ensure DSCA Responsiveness During Instability,1.2.6,1.2.6b,Execute DSCA/FDR exercises and refine plans,Conduct land-focused DSCA drills with FEMA/USAID/partners,Exercise port and maritime HA/DR support,Exercise air evacuation and airlift DSCA missions,Test continuity of cyber and IT services under stress,Use space-based products in DSCA planning and execution,Demonstrated DSCA responsiveness under Venezuela-driven stress,Friction among FEMA/USAID/partners reduces DSCA effectiveness
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multidomain Detection & Mapping of Illicit Networks,2.1.1,2.1.1a,Plan persistent all-domain ISR campaign on malign networks,"Identify land nodes, camps, and routes for ISR focus","Identify maritime routes, ports, and patterns to monitor","Identify air corridors, airfields, and routes for ISR","Identify key cyber terrain (crypto, dark web, C2 nodes)",Identify space collection priorities for SAR/EO coverage,ISR campaign design synchronized across agencies,Decision to dedicate ISR capacity and priority to network mapping
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multidomain Detection & Mapping of Illicit Networks,2.1.1,2.1.1b,Execute persistent all-domain ISR on malign networks,Collect ground ISR and HUMINT along key routes,"Track vessels, ports, and at-sea transfers",Fly MPA/ISR sorties over key air and land corridors,"Conduct cyber ISR on dark web, crypto, and C2",Task space assets to confirm and persistently track nodes,Target-quality network picture built in near real time,Adversary deception or EW significantly degrades ISR value
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multidomain Detection & Mapping of Illicit Networks,2.1.2,2.1.2a,Design permanent Counter-Illicit Networks Fusion Cell,"Define land, law-enforcement, and interagency participation",Define maritime intelligence billets and liaison positions,Define air intel roles and ATO linkage,Define cyber/financial analyst mix and tools,Define space ISR representation and data feeds,Fusion cell concept and manning approved,Decision to allocate billets and secure workspace/IT
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multidomain Detection & Mapping of Illicit Networks,2.1.2,2.1.2b,Operate fusion cell to produce integrated illicit network targets,Fuse land intel and law-enforcement reporting,Fuse maritime patterns and boarding outcomes,Fuse air ISR products and air traffic anomalies,Fuse cyber/financial data into network maps,Fuse space-derived indicators into targeting outputs,"High-confidence, multi-domain network target sets produced",Agencies or partners refuse to share key data streams
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multinational Maritime & Air Interdiction (Joint-SFA),2.1.3,2.1.3a,Plan SFA-B training for partner interdiction units,Select land-based partner units needing interdiction skills,Select partner maritime units for boarding and MIO training,Select partner air units for intercept and MPA support training,Identify secure comms requirements for joint interdiction,Identify use of space MDA products for partner training,Training plan approved by partner leadership,Decision by partners to commit forces to training cycles
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multinational Maritime & Air Interdiction (Joint-SFA),2.1.3,2.1.3b,Conduct SFA-B training and evaluate partner interdiction units,"Train land units in raid, detention, and evidence handling","Train maritime units in VBSS, boarding, and safety",Train air units in interdiction support and C-UAS,Establish secure comms and deconfliction practices,Integrate space-based tracks into partner interdiction drills,Partners demonstrate joint interdiction proficiency,"Key partner units compromised, corrupted, or politically constrained"
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multinational Maritime & Air Interdiction (Joint-SFA),2.1.4,2.1.4a,Plan SOC-WHEM joint and combined special operations,Select land HVTs and key nodes for SOF action,Select maritime HVTs and at-sea interdiction targets,Define air mobility and ISR support to SOF ops,Define cyber reconnaissance and access needed for targeting,Define space cueing and overwatch for SOF missions,SOF targeting and CONOPS approved at appropriate level,Decision to authorize specific SOF missions and ROE
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Multinational Maritime & Air Interdiction (Joint-SFA),2.1.4,2.1.4b,Execute SOC-WHEM joint and combined special operations,Conduct land raids/arrests on key network nodes,Execute maritime SOF interdictions against high-value vessels,Provide air mobility and ISR overwatch for SOF teams,Exploit and disrupt digital infrastructure during operations,"Leverage space imagery for staging, exfil, and BDA",High-value TCO/PRC/RUS nodes neutralized or degraded,Venezuelan or proxy escalation following SOF activity
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Counter-Finance & Counter-Illicit Enablers,2.1.5,2.1.5a,Plan cyber-financial operations against illicit finance,Identify land-based financial facilitators and hubs,"Identify maritime-linked finance (ports, brokers, shipping firms)",Identify air cargo and charter financial channels,"Identify crypto exchanges, mixers, and dark-web services",Identify illicit mining/logistics sites via space data,Target list of financial nodes and mechanisms approved,"Decision on legal authorities and interagency lead (e.g., Treasury)"
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Counter-Finance & Counter-Illicit Enablers,2.1.5,2.1.5b,Conduct cyber-financial operations to disrupt illicit flows,Support land investigations and seizures of financial records,Support maritime-focused financial investigations and flags,Target air cargo/charter finance and insurers,Disrupt crypto and dark-web finance nodes via cyber ops,Use space imagery to verify and support financial case-building,Major illicit financial channels degraded/shut,"TCOs rapidly shift to alternate banking, crypto, or front networks"
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Counter-Finance & Counter-Illicit Enablers,2.1.6,2.1.6a,Plan sanctions and legal actions with Treasury/OFAC,Identify land-based entities and individuals for sanctions,"Identify maritime firms, fleets, and ports to consider",Identify aviation and charter companies as candidates,Identify relevant cyber and financial service providers,Use space data to corroborate physical aspects of cases,Candidate sanctions packages developed,Decision by Treasury/OFAC and policymakers on sanction targets
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.1 - Disrupt Illicit Networks & Enable Multinational Interdiction,Counter-Finance & Counter-Illicit Enablers,2.1.6,2.1.6b,Implement and enforce sanctions with interagency partners,Support land enforcement of asset freezes and seizures,"Track maritime compliance (port calls, ship activity)","Track aviation compliance (flight routes, aircraft use)",Monitor cyber/financial adaptation to sanctions,Use space-based observation for compliance and violation cues,Coordinated sanctions constrain regime and enablers,Regional partners refuse or inconsistently implement sanctions
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-Disinformation & Strategic Narrative Dominance,2.2.1,2.2.1a,Plan MISO and information operations campaign,"Define land-focused audiences (units, communities, elites)","Define maritime/audience messaging (ports, maritime unions, media)","Define air-related messaging (humanitarian flights, safety)",Define cyber/social channels and content types,Plan release of space imagery to expose malign activities,IO/MISO plan approved and nested with DOS public diplomacy,"Decision on narrative themes, constraints, and red lines"
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-Disinformation & Strategic Narrative Dominance,2.2.1,2.2.1b,"Execute MISO and IO, adapt to adversary influence",Conduct land engagements and key leader messaging,Publicize maritime presence and law-abiding interdictions,Highlight airlift/ISR humanitarian contributions,Run rapid-response online counter-disinformation ops,Release space imagery disproving adversary narratives,Regional publics more aligned with coalition narrative,Adversary information ops erode trust in U.S. and partners
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-Disinformation & Strategic Narrative Dominance,2.2.2,2.2.2a,Design Hemispheric Truth web platform and governance,"Define land-related content areas (rule of law, governance)","Define maritime content (safety, interdiction, law-of-the-sea)","Define air content (safety, HA/DR missions, transparency)",Define cyber architecture and multilingual content approach,Define use of space imagery as public evidence,Platform concept and build plan approved,"Decision on host, funding, and multi-national governance"
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-Disinformation & Strategic Narrative Dominance,2.2.2,2.2.2b,Deploy and operate Hemispheric Truth platform,Publish land governance and security stories and data,Publish maritime interdiction outcomes and legal framing,Publish air safety and humanitarian mission stories,Continuously fact-check and respond online via platform,Publish space imagery illustrating true activity patterns,Platform becomes trusted regional reference,"Platform is blocked, attacked, or dismissed as propaganda"
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-ISR & Cyber Threats from Malign States,2.2.3,2.2.3a,Plan Hunt Forward operations on partner networks,Identify critical land C2 and government systems,Identify maritime ICS/OT and port systems at risk,"Identify air C2, radar, and ATC networks at risk",Identify partner networks for Hunt Forward cyber ops,Identify ground segments for space and SATCOM systems,Host nations invited and authorities granted for operations,Decision by partner governments to allow Hunt Forward teams
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-ISR & Cyber Threats from Malign States,2.2.3,2.2.3b,Conduct Hunt Forward operations and remediation,Clear land C2/government systems of foreign malware,Clear maritime ICS/OT and port systems,Clear air C2 and radar systems of intrusions,Remove PRC/RUS/IRN footholds on partner networks,Secure space-related ground systems and links,Partner networks largely free of major adversary footholds,Partners curtail access or restrict follow-on cyber operations
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-ISR & Cyber Threats from Malign States,2.2.4,2.2.4a,Plan SFA-B cyber/EW training package,Identify land units needing EW and C-UAS training,Identify maritime forces needing EMCON and EW defense,Identify air units needing spectrum and EMCON training,Identify partner CERTs needing basic and advanced courses,Identify space-related EW and PNT vulnerability content,Training curriculum agreed with partner leadership,Decision by partners to commit units and time to training
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-ISR & Cyber Threats from Malign States,2.2.4,2.2.4b,Conduct cyber/EW training and assess partner resilience,Train land units in spectrum discipline and C-UAS/EW drills,Train maritime units in EMCON and EW threat response,Train air units in emissions management and EW countermeasures,Run practical CERT incident response and hunt exercises,"Educate on space EW, jamming, and PNT threats",Partners reach baseline cyber/EW readiness,Partners remain dependent on adversary ICT infrastructure
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-ISR & Cyber Threats from Malign States,2.2.5,2.2.5a,Design commercial threat-sharing platform integration,"Identify land endpoints (ministries, forces) for feeds",Identify maritime ops centers and ships to receive feeds,Identify air C2 centers and radar sites to receive feeds,Define SOC/SIEM integration and automation per partner,Define space-related threat indicators to include,Platform design and partner technical agreements in place,"Decision on funding, hosting, and service model"
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Counter-ISR & Cyber Threats from Malign States,2.2.5,2.2.5b,Operate automated threat-sharing feeds with partners,Deliver land-focused IOCs and signatures to endpoints,Deliver maritime-focused threat intel to ops centers and ships,Deliver air-focused threat intel to radars and C2 centers,Send automated cyber indicators to partner SOCs,Include space threat data where relevant,Partners reduce cyber reaction time using automated feeds,Funding cuts or technical issues degrade feed reliability
OBJ2 - Degrade/Disrupt Malign State and Non-State Actors (Main Effort),LOE2.2 - Counter State Influence & Hybrid Threats,Partner Force Protection Against State-Backed Proxies,2.2.6,2.2.6a,Plan partner FP training for state-backed proxies,Identify land units at risk of proxy/terror attacks,Identify maritime units needing FP at sea and in port,Identify air bases needing hardened FP posture,Identify cyber FP needs for FP systems and sensors,Identify space-based support for monitoring proxy staging,FP training and support plan approved,Decision by partners to commit units and leadership to FP reforms
